Filetes de lomo y ensalada de naranja|Filetes de lomo, ensalada preparada, vinagre de módena, naranja|C
Menestra de verduras|Menestra, alcachofas, jamón serrano en trozos|V
Salmón a la naranja|Salmon, naranja, cointreau, cebolla|P
Merluza en salsa verde|Merluza, cebolla, caldo de pescado|P
Merluza a la gallega|Merluza, patatas, cebolla, pimentón|P
Crema de calabaza|Calabaza,Patatas|V
Crepes jamon y queso|Harina, Leche, 1 huevo|O
Hojaldre pollo y brocoli|Masa de hojaldre, brocoli, pollo en trozos, queso cheddar, 1 huevo|O
Fingers de pollo|Pollo de corral, pan rallado, huevo|O
Pizza casera|Harina, levadura fresca|O
Green smoothie|Manzanas granny smith (2), platano (1), espinacas (80 g), miel (30 g)|D
